ds;y;High;Low;Close;Adj Close;Volume
2017-03-05;9062.924805;9062.924805;8934.189453;8947.578125;5523.700684;148140
2017-04-05;8928.010742;9003.191406;8832.231445;8960.966797;5531.966797;161057
2017-05-05;8911.532227;9030.998047;8821.932617;9026.878906;5572.656738;127689
2017-10-05;9062.924805;9078.373047;8827.082031;8916.681641;5504.627441;194485
2017-11-05;8894.024414;8917.711914;8731.303711;8753.960938;5404.173828;201786
2017-12-05;8758.081055;8765.290039;8601.539063;8656.123047;5343.773438;148881
2017-05-15;8674.660156;8784.857422;8600.509766;8784.857422;5423.247070;159848
2017-05-16;8773.529297;8774.558594;8614.927734;8653.033203;5341.865723;110663
2017-05-17;8638.615234;8703.497070;8609.778320;8622.136719;5322.792969;131568
2017-05-18;8602.569336;8696.288086;8494.431641;8671.571289;5353.310547;234351
2017-05-19;8676.720703;8748.811523;8553.134766;8553.134766;5280.195801;119046
2017-05-22;8553.134766;8625.226563;8497.521484;8522.238281;5261.121582;109186
2017-05-23;8507.820313;8639.644531;8454.266602;8608.748047;5314.526855;106486
2017-05-24;8555.194336;8649.943359;8539.747070;8649.943359;5339.958496;79884
2017-05-25;8659.212891;8700.407227;8472.804688;8472.804688;5230.604004;140715
2017-05-26;8496.492188;8510.910156;8408.952148;8444.998047;5213.436523;122425
2017-05-29;8465.595703;8493.402344;8386.294922;8386.294922;5177.198242;68446
2017-05-30;8393.503906;8403.802734;8275.068359;8290.516602;5118.070801;149895
2017-05-31;8278.157227;8308.024414;8138.094238;8138.094238;5023.973633;305508
2017-01-06;8186.498535;8195.767578;7981.552734;8023.777832;4953.401855;275552
2017-02-06;8033.046875;8125.735840;7906.371582;8062.913086;4977.561523;226484
2017-05-06;8087.630371;8213.275391;8023.777832;8122.645996;5014.437012;155205
2017-06-06;8165.900879;8192.677734;8033.046875;8133.974609;5021.430664;121180
2017-07-06;8110.287598;8191.647949;8088.660156;8099.988770;5000.450195;119018
2017-08-06;8106.167969;8259.620117;8106.167969;8252.411133;5094.546387;145281
2017-09-06;8229.752930;8384.235352;8227.693359;8342.009766;5149.858398;188010
2017-06-13;8297.725586;8388.354492;8261.679688;8298.754883;5123.155762;154095
2017-06-14;8300.815430;8389.384766;8299.785156;8355.398438;5158.124512;148318
2017-06-15;8316.262695;8351.279297;8096.898926;8250.350586;5093.273926;459405
2017-06-16;8269.918945;8438.818359;8269.918945;8397.623047;5184.191895;241315
2017-06-19;8434.699219;8520.178711;8405.862305;8496.492188;5245.227539;166102
2017-06-20;8514.000000;8626.255859;8476.923828;8559.314453;5284.009766;206763
2017-06-21;8547.985352;8608.748047;8417.191406;8537.686523;5270.658691;241188
2017-06-22;8157.662109;8186.498535;8023.777832;8084.540527;5266.068848;431620
2017-06-23;8110.287598;8336.860352;8059.823730;8254.470703;5376.756836;368593
2017-06-26;8294.635742;8365.697266;8229.752930;8237.992188;5366.023438;129795
2017-06-27;8215.334961;8388.354492;8205.036133;8368.787109;5451.219727;158517
2017-06-28;8347.159180;8492.372070;8316.262695;8419.250977;5484.091309;155732
2017-06-29;8446.027344;8484.132813;8373.936523;8424.400391;5487.444824;123631
2017-06-30;8414.101563;8535.626953;8309.053711;8309.053711;5412.310547;189930
2017-03-07;8349.218750;8493.402344;8331.710938;8492.372070;5531.719727;117361
2017-04-07;8470.745117;8491.342773;8404.833008;8441.908203;5498.850098;94038
2017-05-07;8462.505859;8545.925781;8408.952148;8535.626953;5559.894531;147435
2017-06-07;8522.238281;8636.554688;8522.238281;8592.270508;5596.791504;132911
2017-07-07;8504.730469;8656.123047;8486.193359;8623.166992;5616.916016;147517
2017-10-07;8650.973633;8769.409180;8635.525391;8769.409180;5712.175293;187874
2017-11-07;8805.455078;8855.918945;8764.259766;8847.679688;5763.158691;116307
2017-12-07;8852.829102;8898.144531;8766.319336;8856.949219;5769.196777;192927
2017-07-13;8856.949219;8877.546875;8671.571289;8749.841797;5699.429199;173574
2017-07-14;8731.303711;8744.692383;8641.704102;8733.363281;5688.694824;131251
2017-07-17;8762.200195;8849.740234;8702.466797;8849.740234;5764.500488;173440
